! 12 tone chords:
<SCALA_SCALE_DEF 2^(1/12)>
<SCALA_NOTATION E12>
!
1-1  Semitone Trichord   12
4-3-2  Sixte Ajoutée "6", Minor Seventh 1st inversion    479
4-3-2-5  Added Sixth & Ninth "6/9"       479E
4-3-2-5-4  Added Sixth & Ninth & Augmented Eleventh "6/9#11"      479EI
4-3-3  Dominant Seventh "7", German Sixth      47A
4-3-3-3  Dominant Ninth Minor "7b9"         47AD
4-3-3-3-4  Dominant Ninth Minor Added Eleventh "11b9"   47ADH  
4-3-3-3-5-3  Augmented Thirteenth Minor Ninth "13b9#11"     47ADIL
4-3-3-3-8  Dominant Ninth Minor Added Thirteenth "13b9"      47ADL
4-3-3-4  Dominant Ninth "9"      47AE
4-3-3-4-3  Dominant Eleventh "11"          47AEH
4-3-3-4-3-4  Dominant Thirteenth "13"     47AEHK
4-3-3-4-4  Dominant Ninth Augmented Eleventh "9#11"     47AEI
4-3-3-4-4-3  Augmented Thirteenth "13#11", "7#11", Lydian Dominant      47AEIL
4-3-3-4-4-3-4  Augmented Fifteenth "#15"     47AEILP
4-3-3-5  Dominant Augmented Ninth "7#9", Altered Dominant     47AF
4-3-3-7  Dominant Seventh Added Eleventh "7/11"       47AH
4-3-3-7-4  "11/7/6"                                47AHL
4-3-3-11 Dominant Seventh Added Thirteenth "7/13"        47AL
4-3-4  Major Seventh "maj7" "*"          47B
4-3-4-3  Major Ninth "maj9"                47BE
4-3-4-3-3  Major Eleventh "maj11"     47BEH
4-3-4-3-3-4  Major Thirteenth "maj13"    47BEHL
4-3-4-3-4  Lydian "*#11"         47BEI
4-3-4-7  Lydian "*#11"     47BI
4-3-7  Added Ninth "add9"     47E
4-4  Augmented "aug" "#5", Major Trine    48
4-4-2  Augmented Dominant Seventh "7+", "7#5"      48A
4-4-2-3  Augmented Dominant Seventh Minor Ninth "7#5b9"     48AD
4-4-2-4  Augmented Dominant Ninth "9#5"       48AE
4-4-2-5  Augmented Dominant Seventh Augmented Ninth "7#5#9"     48AF
4-4-3  Augmented Major Seventh "maj7#5"    48B
4-4-4  Major Augmented Tetrad      48C
4-4-6  Augmented Added Ninth "#5add9"    48E
4-5  Minor Triad 1st inversion       49
4-5-2  Sixth-Seventh Chord "7/6"      49B
4-5-5  Sixth-Ninth Chord "9/6"    49E
4-6  Augmented Sixth "aug6", Italian Sixth      4A
4-7  Major Quintal Triad             4B
4-7-3  Seventh-Ninth Chord "9/7"      4BE
5-1  Viennese Trichord          56
5-1-1  Dream Chord         567
5-2  Suspended Fourth "sus4"       57    
5-2-2  Sixth Suspended Fourth "6sus4"       579
5-2-3  Dominant Seventh Suspended Fourth "7sus4"     57A
5-2-3-4  Dominant Ninth Suspended Fourth "9sus4"       57AE
5-2-3-4-7  Thirteenth Suspended Fourth "13sus4"      57AEL
5-2-4  Major Seventh Suspended Fourth "maj7sus4"     57B
5-2-7  Fourth-Ninth Chord "9/4" "sus4add9"          57E
5-3  Minor Triad 2nd inversion       58
5-4  Fourth-Sixth Chord, Major Triad 2nd inversion, "6/4"    59
5-5  Quartal Triad            5A                  
5-5-5  Quartal Tetrad      5AF
E A D.1 G.1 B.1  =5-5-5-4 So What Chord     5AFJ
5-6  Fourth-Seventh Chord "7/4"     5B
6-2  Augmented Sixth 1st inversion     68
6-3  Minor Trine 2nd inversion       69
F B D#.1 G#.1  = 6-4-5         Tristan Chord    6AF
C F# Bb E.1 A.1 D.2  =Scriabin's Mystic Chord, Prometheus Chord   6-4-6-5-5   6AGLQ
E B Db.1 F.1 Ab.1  =Elektra Chord  7-2-4-3 79DG
7-3  Minor Quintal Triad     7A  
7-4  Major Quintal Triad     7B
7-7  Quintal Triad               7E 
7-7-7-7  Fifths Chord         7ELS 
7-7-10  Quintal Tetrad        7EO
C G# B E.1 A.1  =Farben Chord        8-3-5-5    8BGL
E.-1 D G C.1  =Steely Dan Chord       AFK
12-7-5-4-3  Overtone         CJOSV
3-4-5-7-12  Undertone        37CJV
C E F# G A# C#.1  =Petrushka Chord       4-2-1-3-3    467AD
E.-2 G.-2 B.-2 G.-1 G E.1 G.1 B.1  =Psalms Chord
C Bb E.1 D.2 G#.3 F#.3 =Whole-Tone Chord
!
! Messiaen's chords:
!
B.-1 E Gb G Bb Eb.1 F.1 A.1  =orangé      578BGIM
Bb.-1 Eb F G B C.1 Gb.1 Ab.1  =rouge      579DEKM
A.-1 D F G Ab Eb.1 Gb.1 Bb.1  =gris et or         58ABILP
C#.-1 C G# D.1  =vert pâle et argent         BJP
D.-1 E C#.1 A.1 =bleu=        14-9-8           ENV
G A C.1 D.1 F.1 B.1 E.2  =Accord sur dominante 2-3-2-3-6-5    257AGL
C E G Bb D.1 F#.1 G#.1 B.1  =Accord de la résonance            47AEIKN
Db G C.1 F#.1 B.1 F.2  =Accord en quartes  6-5-6-5-6              6BHM
!
